title,shift_id,reporter_id,field_agent_id,handling_team,contact_id,location,category,sub_category,description,status,procedure_definition_id,logs,involved_entities,resources_used,procedure_steps,summary,notifications_sent,closed_at,closed_by,id,created_date,updated_date,created_by_id,created_by,is_sample
"אירוע פלילי","N/A","68306aee157222eb321f6d20","null","[]","","{""""latitude"""":null,""""longitude"""":null,""""location_id"""":"""""""",""""description"""":""""""""}","6830809f3ac0d103302a591e","683441360d029d861c721de5","","open","","[{""""timestamp"""":""""2025-05-26T18:34:37.138Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""שימוש במשאב: UPS-SERVER-ROOM (סוג לא ידוע)"""",""""tagged_entities"""":[{""""entity_type"""":null,""""entity_id"""":null,""""slug"""":null}]}]","[]","[{""""resource_id"""":""""6832b275acb30a9202a93818"""",""""usage_details"""":"""""""",""""form_response_id"""":null}]","[]","null","[]","null","null","6834ae883a10512c1e547ad9","2025-05-26T18:10:16.227000","2025-05-26T18:34:37.696000","null","kligerai123@gmail.com","false"
"׳קכקבכ","N/A","68306aee157222eb321f6d20","","[""""68306aee157222eb321f6d20""""]","anonymous","{""""latitude"""":31.7683,""""longitude"""":35.2137,""""location_id"""":""""6832b1cb6016491cb38e0798"""",""""description"""":""""מתחם ראשי - מרכז""""}","6830809f3ac0d103302a591e","683441360d029d861c721de5","ניסיון","open","6832b1cb6016491cb38e07b2","[{""""timestamp"""":""""2025-05-26T18:38:23.152Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":"""" ממ מ"""",""""tagged_entities"""":[{""""entity_type"""":null,""""entity_id"""":null,""""slug"""":null},{""""entity_type"""":null,""""entity_id"""":null,""""slug"""":null},{""""entity_type"""":null,""""entity_id"""":null,""""slug"""":""""contacts""""}]}]","[]","[]","[{""""step_id"""":""""1"""",""""title"""":""""זיהוי ראשוני של האירוע"""",""""description"""":""""וידוא שמדובר באירוע חדירה ולא באזעקת שווא"""",""""is_required"""":true,""""step_type"""":""""checkbox"""",""""form_id"""":null,""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null},{""""step_id"""":""""2"""",""""title"""":""""דיווח מיידי למוקד"""",""""description"""":""""דיווח טלפוני למוקד הבקרה בתוך 60 שניות"""",""""is_required"""":true,""""step_type"""":""""checkbox"""",""""form_id"""":null,""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null},{""""step_id"""":""""3"""",""""title"""":""""מילוי דוח אירוע מהיר"""",""""description"""":""""מילוי טופס דיווח מהיר לתיעוד ראשוני"""",""""is_required"""":true,""""step_type"""":""""form"""",""""form_id"""":""""6832b1cb6016491cb38e07af"""",""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null},{""""step_id"""":""""4"""",""""title"""":""""בידוד האזור"""",""""description"""":""""סגירת גישות לאזור החדירה ומניעת כניסה נוספת"""",""""is_required"""":true,""""step_type"""":""""checkbox"""",""""form_id"""":null,""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null},{""""step_id"""":""""5"""",""""title"""":""""תיעוד ראיות"""",""""description"""":""""צילום והקלטת ראיות באזור החדירה"""",""""is_required"""":true,""""step_type"""":""""document"""",""""form_id"""":null,""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null},{""""step_id"""":""""6"""",""""title"""":""""דיווח למשטרה (במידת הצורך)"""",""""description"""":""""קביעה האם נדרש דיווח למשטרה והכנת הדיווח"""",""""is_required"""":false,""""step_type"""":""""text"""",""""form_id"""":null,""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null}]","null","[]","null","null","6834b4cb2bc1efd0bd5656fe","2025-05-26T18:36:59.120000","2025-05-26T18:38:24.073000","null","kligerai123@gmail.com","false"
"אירוע חדש - פלילי","null","68306aee157222eb321f6d20","null","[]","null","{""""latitude"""":null,""""longitude"""":null,""""location_id"""":null,""""description"""":null}","6830809f3ac0d103302a591e","683441360d029d861c721de5","","open","6832b1cb6016491cb38e07b2","[{""""timestamp"""":""""2025-05-26T18:38:45.162Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""האירוע נוצר."""",""""tagged_entities"""":[]}]","[]","[]","[]","null","[]","null","null","6834b535a5e9ade4a325d974","2025-05-26T18:38:45.521000","2025-05-26T18:38:45.521000","null","kligerai123@gmail.com","false"
"אירוע חדש - שגרה","null","68306aee157222eb321f6d20","null","[]","null","{""""latitude"""":null,""""longitude"""":null,""""location_id"""":null,""""description"""":null}","683445c8ce3f6e74d25972a5","683446125ed111a9dd26a7db","","open","6834458a163d1308c5dda222","[{""""timestamp"""":""""2025-05-26T19:13:06.356Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""האירוע נוצר."""",""""tagged_entities"""":[]},{""""timestamp"""":""""2025-05-26T19:13:16.214Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""חמדגחקמרכ"""",""""tagged_entities"""":[]}]","[]","[]","[]","null","[]","null","null","6834bd4256f3b7592083477b","2025-05-26T19:13:06.914000","2025-05-26T19:13:16.794000","null","kligerai123@gmail.com","false"
"אירוע חדש - פלילי","null","68306aee157222eb321f6d20","null","[""""68306aee157222eb321f6d20""""]","6832b1cb6016491cb38e07cb","{""""latitude"""":null,""""longitude"""":null,""""location_id"""":null,""""description"""":""""בניין ג""""}","6830809f3ac0d103302a591e","683441360d029d861c721de5","","in_progress","6832b1cb6016491cb38e07b2","[{""""timestamp"""":""""2025-05-26T19:13:39.037Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""האירוע נוצר."""",""""tagged_entities"""":[]},{""""timestamp"""":""""2025-05-26T19:13:52.392Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""שויך איש קשר מדווח: רחל כהן"""",""""tagged_entities"""":[{""""entity_type"""":null,""""entity_id"""":null,""""slug"""":null}]},{""""timestamp"""":""""2025-05-26T19:14:05.867Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""שויך איש קשר מדווח: יוסי לוי"""",""""tagged_entities"""":[{""""entity_type"""":null,""""entity_id"""":null,""""slug"""":null}]},{""""timestamp"""":""""2025-05-26T19:14:16.101Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""צוות מטפל עודכן ל: Ari Kliger (אני)"""",""""tagged_entities"""":[]},{""""timestamp"""":""""2025-05-26T19:14:37.137Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""מיקום האירוע עודכן ל: בניין ג."""",""""tagged_entities"""":[]},{""""timestamp"""":""""2025-05-26T19:37:27.748Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""סטטוס האירוע שונה ל: בטיפול"""",""""tagged_entities"""":[]}]","[]","[]","[]","null","[]","null","null","6834bd63b7ea526aea1e5cc8","2025-05-26T19:13:39.392000","2025-05-26T19:37:28.129000","null","kligerai123@gmail.com","false"
"אירוע חדש - שגרה","null","68306aee157222eb321f6d20","null","[]","null","{""""latitude"""":null,""""longitude"""":null,""""location_id"""":null,""""description"""":null}","683445c8ce3f6e74d25972a5","683446125ed111a9dd26a7db","","open","6834458a163d1308c5dda222","[{""""timestamp"""":""""2025-05-26T19:20:36.993Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""האירוע נוצר."""",""""tagged_entities"""":[]}]","[]","[]","[]","null","[]","null","null","6834bf055bc45f91addbc1d8","2025-05-26T19:20:37.321000","2025-05-26T19:20:37.321000","null","kligerai123@gmail.com","false"
"אירוע חדש - פלילי","null","68306aee157222eb321f6d20","null","[]","null","{""""latitude"""":null,""""longitude"""":null,""""location_id"""":null,""""description"""":null}","6830809f3ac0d103302a591e","683441360d029d861c721de5","","open","6832b1cb6016491cb38e07b2","[{""""timestamp"""":""""2025-05-27T03:18:45.605Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""האירוע נוצר."""",""""tagged_entities"""":[]}]","[]","[]","[]","null","[]","null","null","68352f160d029d861c774f79","2025-05-27T03:18:46.248000","2025-05-27T03:18:46.248000","null","kligerai123@gmail.com","false"
"אירוע חדש - אירועי אבטחה","null","68306aee157222eb321f6d20","null","[]","null","{""""latitude"""":null,""""longitude"""":null,""""location_id"""":null,""""description"""":null}","6832b1cb6016491cb38e07b6","6832bc74bcc45ae65cd90213","","open","6832b1cb6016491cb38e07b3","[{""""timestamp"""":""""2025-05-27T04:18:32.050Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""האירוע נוצר."""",""""tagged_entities"""":[]}]","[]","[]","[]","null","[]","null","null","68353d180d029d861c77a3c3","2025-05-27T04:18:32.971000","2025-05-27T04:18:32.971000","null","kligerai123@gmail.com","false"
"אירוע חדש - פלילי","68353a3abc94eb073828dd83","68306aee157222eb321f6d20","null","[]","null","{""""latitude"""":null,""""longitude"""":null,""""location_id"""":null,""""description"""":null}","6830809f3ac0d103302a591e","683441360d029d861c721de5","","open","6832b1cb6016491cb38e07b2","[{""""timestamp"""":""""2025-05-27T08:54:07.030Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""האירוע נוצר."""",""""tagged_entities"""":[]}]","[]","[]","[]","null","[]","null","null","68357daf4bce2dce3f37406d","2025-05-27T08:54:07.557000","2025-05-27T08:54:07.557000","null","kligerai123@gmail.com","false"
"אירוע חדש - אירועי אבטחה","68353a3abc94eb073828dd83","68306aee157222eb321f6d20","null","[]","null","{""""latitude"""":null,""""longitude"""":null,""""location_id"""":null,""""description"""":null}","6832b1cb6016491cb38e07b6","6832bc74bcc45ae65cd90213","","open","6832b1cb6016491cb38e07b3","[{""""timestamp"""":""""2025-05-27T09:08:40.499Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""האירוע נוצר."""",""""tagged_entities"""":[]}]","[]","[]","[]","null","[]","null","null","6835811838a0c2dcbb3f9f0a","2025-05-27T09:08:40.997000","2025-05-27T09:08:40.997000","null","kligerai123@gmail.com","false"
"אירוע חדש - אירועי אבטחה","68353a3abc94eb073828dd83","68306aee157222eb321f6d20","null","[]","null","{""""latitude"""":null,""""longitude"""":null,""""location_id"""":null,""""description"""":null}","6832b1cb6016491cb38e07b6","6832bc74bcc45ae65cd90213","","open","6832b1cb6016491cb38e07b3","[{""""timestamp"""":""""2025-05-27T09:27:25.754Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""האירוע נוצר."""",""""tagged_entities"""":[]}]","[]","[]","[]","null","[]","null","null","6835857ed2c1ff35934fac52","2025-05-27T09:27:26.309000","2025-05-27T09:27:26.309000","null","kligerai123@gmail.com","false"
